Time:  2:27:40,90 
2026-01-28 02:27:55,935 - INFO - [vision_engine.py:1361] - DEBUG: Icon Missing -> Checking Menu...
2026-01-28 02:27:55,952 - INFO - [vision_engine.py:1370] - DEBUG: Menu Check: False (Conf: 0.12)
2026-01-28 02:27:55,952 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=False)
2026-01-28 02:27:56,040 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:56,171 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:56,172 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:56,311 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:56,387 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:56,388 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:56,586 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:56,587 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:56,599 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:56,787 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:56,788 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:56,875 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:56,986 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='' Conf: 0
2026-01-28 02:27:56,987 - INFO - [vision_engine.py:895] - Level DLL OCR FAILED: text=''
2026-01-28 02:27:57,139 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:57,439 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:57,718 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'aN' (Conf: 85)
2026-01-28 02:27:57,807 - INFO - [state_service.py:1126] - \U0001f680 EARLY GAME: Level 1 detected (First Frame) - Activating JOUR I monitoring
2026-01-28 02:27:57,808 - ERROR - [events.py:33] - EventBus Error processing LevelDetectedEvent: EarlyGameDetectedEvent.__init__() missing 1 required positional argument: 'level'
2026-01-28 02:27:57,912 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): '~' (Conf: 75)
2026-01-28 02:27:58,005 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:27:58,030 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '~
7
; ' -* |
Ys
too' (Conf: 85)
2026-01-28 02:27:58,030 - INFO - [vision_engine.py:1278] - OCR RAW (Day): '~
7
; ' -* |
Ys
too' Conf: 85.0
2026-01-28 02:27:58,203 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:27:58,230 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): 'a
\
‘ ’ ‘
*,' (Conf: 75)
2026-01-28 02:27:58,339 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): '| a PH' (Conf: 85)
2026-01-28 02:27:58,339 - INFO - [vision_engine.py:1278] - OCR RAW (Day): '| a PH' Conf: 85.0
2026-01-28 02:27:58,420 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:27:58,552 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): ', , 17
- (a' (Conf: 75)
2026-01-28 02:27:58,605 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 95
2026-01-28 02:27:58,661 - INFO - [vision_engine.py:1278] - OCR RAW (Day): ', , 17
- (a' Conf: 75.0
2026-01-28 02:27:58,820 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:27:58,848 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): 'wey
: 7
‘' (Conf: 75)
2026-01-28 02:27:58,964 - INFO - [vision_engine.py:1278] - OCR RAW (Day): 'wey
: 7
‘' Conf: 75.0
2026-01-28 02:27:59,090 - INFO - [vision_engine.py:1168] -   > Pass 0 (3): 'oo' (Conf: 75)
2026-01-28 02:27:59,288 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): ': rot, rf : \' (Conf: 85)
2026-01-28 02:27:59,288 - INFO - [vision_engine.py:1278] - OCR RAW (Day): ': rot, rf : \' Conf: 85.0
2026-01-28 02:27:59,396 - INFO - [vision_engine.py:1168] -   > Pass 0 (3): '. a
— a F' (Conf: 75)
2026-01-28 02:27:59,488 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): 'JOURI' (Conf: 75)
2026-01-28 02:27:59,606 - INFO - [vision_engine.py:1278] - OCR RAW (Day): '. a
— a F' Conf: 75.0
2026-01-28 02:27:59,812 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): 'JOURL' (Conf: 75)
2026-01-28 02:27:59,928 - INFO - [vision_engine.py:1278] - OCR RAW (Day): 'JOURL' Conf: 75.0
2026-01-28 02:28:00,039 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:28:00,041 - INFO - [vision_engine.py:878] - OCR RAW (Level): '1' Conf: 96
2026-01-28 02:28:00,220 - INFO - [vision_engine.py:1353] - DEBUG: Icon Visible (Conf: 0.96) -> Skipped Menu
2026-01-28 02:28:00,238 - INFO - [vision_engine.py:878] - OCR RAW (Runes): '0' Conf: 96
2026-01-28 02:28:00,238 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=True)
2026-01-28 02:28:00,270 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 93
2026-01-28 02:28:00,271 - INFO - [vision_engine.py:878] - OCR RAW (Level): '1' Conf: 93
2026-01-28 02:28:00,420 - INFO - [vision_engine.py:1168] -   > Pass 1 (3): '1' (Conf: 75)
2026-01-28 02:28:00,437 - INFO - [vision_engine.py:1353] - DEBUG: Icon Visible (Conf: 0.96) -> Skipped Menu
2026-01-28 02:28:00,454 - INFO - [vision_engine.py:878] - OCR RAW (Runes): '0' Conf: 96
2026-01-28 02:28:00,454 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=True)
2026-01-28 02:28:00,472 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:28:00,472 - INFO - [vision_engine.py:878] - OCR RAW (Level): '1' Conf: 96
2026-01-28 02:28:00,574 - INFO - [vision_engine.py:1168] -   > Pass 2 (RED): 'e
° e .
eo. ° o
° ed . _ . “
o ° ° .° ‘
e ° . ‘
. -° .
. e ad
2 i]
. 5 ;
° +
. :
° -® .
td e e °. . ae
e a“ = ~*%e ~~! |' (Conf: 85)
2026-01-28 02:28:00,637 - INFO - [vision_engine.py:1353] - DEBUG: Icon Visible (Conf: 0.96) -> Skipped Menu
2026-01-28 02:28:00,654 - INFO - [vision_engine.py:878] - OCR RAW (Runes): '0' Conf: 96
2026-01-28 02:28:00,654 - INFO - [vision_engine.py:1392] - DEBUG: Scanning Level (menu=False, icon=True)
2026-01-28 02:28:00,671 - INFO - [vision_engine.py:865] - DLL OCR RAW (Level): text='1' Conf: 96
2026-01-28 02:28:00,672 - INFO - [vision_engine.py:878] - OCR RAW (Level): '1' Conf: 96
2026-01-28 02:28:00,854 - INFO - [vision_engine.py:1353] - DEBUG: Icon Visible (Conf: 0.96) -> Skipped Menu
2026-01-28 02:28:00,870 - INFO - [state_service.py:895] - WAITING_FOR_D1 Eval: 'JOURL' -> DAY 1 (Score: 83.2)
